Dia,Horario,Atividade,Observacoes
Domingo (06/04),07:00 - 07:30,Acordar
Domingo (06/04),07:30 - 08:15,Caminhada / Café da Manhã,"1º Domingo - TRABALHO"
Domingo (06/04),08:30 - 10:30,Bloco Principal LINUX,"Foco até 27/04"
Domingo (06/04),10:40 - 11:00,Banho / Se arrumar
Domingo (06/04),11:00 - 11:15,Almoço / Escovar os dentes
Domingo (06/04),11:15 - 11:20,Preparativos finais Trabalho
Domingo (06/04),11:20 - 11:40,Deslocamento Casa -> Trabalho
Domingo (06/04),11:40 - 18:00,TRABALHO
Domingo (06/04),18:00 - 18:30,Deslocamento Trabalho -> Casa
Domingo (06/04),18:30 - 19:30,Chegar,Decompressão Preparar / Jantar
Domingo (06/04),19:30 - 21:30,Tempo Livre com Namorada,"Relaxar, Atividade Caseira"
Domingo (06/04),21:30 - 22:00,Planejar/Preparar Segunda-feira
Domingo (06/04),22:00 onwards,Rotina Pré-Sono
Segunda (07/04),06:45 - 07:15,Acordar,Caminhada"FOLGA"
Segunda (07/04),07:15 - 08:00,Café da Manhã / Organização Semanal
Segunda (07/04),08:00 - 11:30,Bloco Principal LINUX/DIO,"Foco até 27/04"
Segunda (07/04),11:30 - 12:30,Almoço
Segunda (07/04),12:30 - 14:00,Bloco Estudo PEDAGOGIA,"Leituras,Tarefa Currículo (Prazo 27/04)"
Segunda (07/04),14:00 - 15:00,Afazeres / Tempo Livre / Preparar Terapia
Segunda (07/04),15:00 - 15:30,Deslocamento Terapia
Segunda (07/04),15:30 - 16:30,Terapia de Casal
Segunda (07/04),16:30 - 21:30,Tempo com Parceira / Jantar
Segunda (07/04),21:30 - 22:15,Bloco Leve Estudo PEDAGOGIA,"Revisão, Leitura Rápida"
Segunda (07/04),22:15 onwards,Preparar Terça,Rotina Pré-Sono
Terça (08/04),06:15 - 06:30,Acordar
Terça (08/04),06:30 - 07:10,Café da Manhã,Preparativos (Uni/Trab/Vôlei)
Terça (08/04),07:10 - 07:30,Deslocamento Casa -> UFSCar
Terça (08/04),07:30 - 08:00,Chegar UFSCar / Organizar
Terça (08/04),08:00 - 10:00,AULA: Estágio Alfabetização
Terça (08/04),10:00 - 10:15,Deslocamento UFSCar -> Casa
Terça (08/04),10:15 - 10:40,Pausa / Organizar Trabalho
Terça (08/04),10:40 - 11:00,Banho / Se arrumar
Terça (08/04),11:00 - 11:15,Almoço / Escovar os dentes
Terça (08/04),11:15 - 11:20,Preparativos finais Trabalho
Terça (08/04),11:20 - 11:40,Deslocamento Casa -> Trabalho
Terça (08/04),11:40 - 18:00,TRABALHO
Terça (08/04),18:00 - 18:30,Deslocamento Trabalho -> Casa
Terça (08/04),18:30 - 18:50,Trocar Roupa Rápido / Pegar Lanche e Bolsa Vôlei
Terça (08/04),18:50 - 19:10,Deslocamento Casa -> Vôlei
Terça (08/04),19:10 - 19:30,Lanche Pré-Vôlei com Namorada
Terça (08/04),19:30 - 21:30,VÔLEI
Terça (08/04),21:30 - 22:30,Retorno / Banho / Jantar Leve
Terça (08/04),22:30 onwards,Descansar/Preparar Quarta/Rotina Pré-Sono
Quarta (09/04),06:00 - 06:15,Acordar
Quarta (09/04),06:15 - 07:00,Café da Manhã,Preparativos (Estágio/Trab)
Quarta (09/04),07:00 - 07:20,Deslocamento Casa -> Escola Estágio,"Considerando trânsito leve/médio"
Quarta (09/04),07:30 - 10:30,Estágio na Escola (Inserção)
Quarta (09/04),10:30 - 10:50,Deslocamento Escola -> Casa
Quarta (09/04),10:50 - 11:05,Banho Rápido / Se arrumar
Quarta (09/04),11:05 - 11:20,Almoço / Escovar dentes / Preparativos finais
Quarta (09/04),11:20 - 11:40,Deslocamento Casa -> Trabalho
Quarta (09/04),11:40 - 18:00,TRABALHO
Quarta (09/04),18:00 - 18:30,Deslocamento Trabalho -> Casa
Quarta (09/04),18:30 - 19:15,Chegar/Decompressão/Jantar
Quarta (09/04),19:15 - 20:45,Bloco Estudo LINUX/DIO,"Foco até 27/04"
Quarta (09/04),20:45 - 21:45,Bloco Estudo PEDAGOGIA
Quarta (09/04),21:45 onwards,Relaxar/Preparar Quinta/Rotina Pré-Sono
Quinta (10/04),06:15 - 06:30,Acordar
Quinta (10/04),06:30 - 07:10,Café da Manhã,Preparativos (Uni/Trab/Vôlei)
Quinta (10/04),07:10 - 07:30,Deslocamento Casa -> UFSCar
Quinta (10/04),07:30 - 08:00,Chegar UFSCar / Organizar
Quinta (10/04),08:00 - 10:30,AULA: Escola e Currículo,"Sair mais cedo!"
Quinta (10/04),10:30 - 10:45,Deslocamento UFSCar -> Casa
Quinta (10/04),10:45 - 11:00,Banho EXPRESSO / Se arrumar CORRENDO,"Ponto Crítico! Avaliar alternativas"
Quinta (10/04),11:00 - 11:15,Almoço Rápido / Escovar os dentes
Quinta (10/04),11:15 - 11:20,Preparativos finais Trabalho
Quinta (10/04),11:20 - 11:40,Deslocamento Casa -> Trabalho
Quinta (10/04),11:40 - 18:00,TRABALHO
Quinta (10/04),18:00 - 18:30,Deslocamento Trabalho -> Casa
Quinta (10/04),18:30 - 18:50,Trocar Roupa Rápido / Pegar Lanche e Bolsa Vôlei
Quinta (10/04),18:50 - 19:10,Deslocamento Casa -> Vôlei
Quinta (10/04),19:10 - 19:30,Lanche Pré-Vôlei com Namorada
Quinta (10/04),19:30 - 21:30,VÔLEI
Quinta (10/04),21:30 - 22:30,Retorno / Banho / Jantar Leve
Quinta (10/04),22:30 onwards,Descansar/Preparar Sexta/Rotina Pré-Sono
Sexta (11/04),07:00 - 07:30,Acordar
Sexta (11/04),07:30 - 08:15,Caminhada / Café da Manhã
Sexta (11/04),08:15 - 10:00,Bloco Estudo LINUX/DIO,"Foco até 27/04"
Sexta (11/04),10:00 - 10:30,Bloco Estudo PEDAGOGIA
Sexta (11/04),10:40 - 11:00,Banho / Se arrumar
Sexta (11/04),11:00 - 11:15,Almoço / Escovar os dentes
Sexta (11/04),11:15 - 11:20,Preparativos finais Trabalho
Sexta (11/04),11:20 - 11:40,Deslocamento Casa -> Trabalho
Sexta (11/04),11:40 - 18:00,TRABALHO
Sexta (11/04),18:00 - 18:30,Deslocamento Trabalho -> Casa
Sexta (11/04),18:30 - 19:30,Chegar/Decompressão/Jantar
Sexta (11/04),19:30 onwards,Tempo Livre com Namorada,"Relaxar, Atividade Caseira"
Sábado (12/04),07:30 - 08:00,Acordar,"2º Sábado - FOLGA"
Sábado (12/04),08:00 - 08:45,Caminhada / Café da Manhã
Sábado (12/04),08:45 - 11:45,Bloco Principal LINUX,"Aproveitar a folga! Foco até 27/04"
Sábado (12/04),11:45 - 13:30,Almoço / Descanso
Sábado (12/04),13:30 - 15:30,Bloco Estudo PEDAGOGIA,"Leituras, Trabalhos"
Sábado (12/04),15:30 - 19:00,Afazeres / Lazer / Tempo Livre
Sábado (12/04),19:00 onwards,Jantar / Tempo Livre com Namorada,"Relaxar, Atividade Caseira"
